Description,Latitude,Location,Longitude,Price,Title,Url
,35.46224831,"Canton, NC",-82.86450999,200.0,brown wooden console table,https://us.letgo.com/en/i/brown-wooden-console-table_d493fd46-f892-4a31-85bb-e66f089714ba
"94 Chevy Astro Van,..208,000 miles..Runs and drives great...Almost new Mud and snow tires..This will make a great work van...I just had the fuel injection replaced which cost me $360 but van runs as nd sound great....CONTACT 828593O11O Call or Text",35.5362217,"Canton, NC",-82.8092321,1400.0,Chevrolet - Astro - 1994,https://us.letgo.com/en/i/Chevrolet-Astro-1994_3222e597-0816-4743-bba6-ad9c0ad7fc17
54 Inch Light Bar...New never been installed...Call or Text [TL_HIDDEN],35.5362217,"Canton, NC",-82.8092321,80.0,54 Inch Light Bar,https://us.letgo.com/en/i/54-Inch-Light-Bar_fbe7f2b2-29b4-4a39-a1c6-77e8fde56ab5
Right handed golf clubs,35.657392629984,"Leicester, NC",-82.705151547089,40.0,Jr Tour Golf Clubs,https://us.letgo.com/en/i/Jr-Tour-Golf-Clubs_40324f63-3b18-401a-bdad-900d58fa9be1
,35.580766432121,"Asheville, NC",-82.62258096438599,80.0,Glass vase,https://us.letgo.com/en/i/Glass-vase_ebaad5f6-afc0-42cb-99b2-aae9ce0cec31
18 months,35.5135800231,"Candler, NC",-82.68708409485,2.0,women's pink and black polka-dot long-sleeved top,https://us.letgo.com/en/i/women-s-pink-and-black-polka-dot-long-sleeved-top_d33d05a3-a362-487d-af3c-10f70c1edc54
110-115. I have a bag to fit it all for a I total of 130,35.580774319984,"Asheville, NC",-82.62263189396,115.0,yellow and black DeWalt power tool kit set,https://us.letgo.com/en/i/yellow-and-black-DeWalt-power-tool-kit-set_45a070fc-8d45-479d-8453-0d52e899423a
12 months,35.513783889312,"Candler, NC",-82.686794813796,3.0,girl's gray and white Calvin Klein sweater,https://us.letgo.com/en/i/girl-s-gray-and-white-Calvin-Klein-sweater_2ee6a5dd-bec7-4a0b-a575-38ceacebc193
18 months,35.513783889312,"Candler, NC",-82.686794813796,5.0,"toddler's blue, pink, and white floral embellished denim bib overalls",https://us.letgo.com/en/i/toddler-s-blue-pink-and-white-floral-embellished-denim-bib-overalls_6551c032-0de2-4b25-b4d6-29e39860d0cc
18 months,35.513783889312,"Candler, NC",-82.686794813796,5.0,red and black dog print pajama set,https://us.letgo.com/en/i/red-and-black-dog-print-pajama-set_8020d458-b135-4d3e-a057-bb559a85156a
12-18 months,35.513783889312,"Candler, NC",-82.686794813796,3.0,"black, pink, and green floral dress",https://us.letgo.com/en/i/black-pink-and-green-floral-dress_ea495806-20ff-4ee8-accb-d29e437f93af
12 months,35.513783889312,"Candler, NC",-82.686794813796,4.0,girl's black and white Minnie Mouse polka-dot crew-neck dress,https://us.letgo.com/en/i/girl-s-black-and-white-Minnie-Mouse-polka-dot-crew-neck-dress_c3affc21-ab01-434c-9252-327c77b0f014
6-12 months,35.513783889312,"Candler, NC",-82.686794813796,4.0,girl's purple and pink floral spaghetti strap dress,https://us.letgo.com/en/i/girl-s-purple-and-pink-floral-spaghetti-strap-dress_cada630f-b600-4e6a-be38-9d4f2c9d9407
None,35.569333,"Asheville, NC",-82.580862,65.0,copper coil pendant necklace,https://us.letgo.com/en/i/copper-coil-pendant-necklace_6e56e1f9-986c-4da6-ada0-71bf3a4ea077
None,35.5861382,"Asheville, NC",-82.5974746,499.95,black and green corded hammer drill,https://us.letgo.com/en/i/black-and-green-corded-hammer-drill_d6dccdce-99d1-4cbc-be01-31761ecae0e7
Their brand new and work great none of that having to plug them into your phone they see completely wireless hust turn on your Bluetooth and listen to music or talk on the phone with the built in speaker and volume control!! Meet at Marshall ingles... For more great stuff visit...,35.820196,"Marshall, NC",-82.629765,25.0,Ihip Bluetooth headphones,https://us.letgo.com/en/i/Ihip-Bluetooth-headphones_77493587-2400-425b-ab8d-802dec641abf
None,35.597118,"Asheville, NC",-82.516648,40.0,Lot of 2 Pampers size 6,https://us.letgo.com/en/i/Lot-of-2-Pampers-size-6_a29dcee0-ec88-4a56-8832-b14a2c300ddf
Amber tiara pedestal candy dish. Perfect condition.,35.4645648,"Waynesville, NC",-83.0014414,20.0,Vintage candy dish,https://us.letgo.com/en/i/Vintage-candy-dish_1321bf48-500b-4fcd-9704-e1466e04a51b
None,35.467117200000004,"Waynesville, NC",-83.00267029999999,3700.0,"Blue and White Suzuki 400, yr 2005",https://us.letgo.com/en/i/Blue-and-White-Suzuki-400-yr-2005_62dadb29-ec18-4a5d-baa7-378ce7796822
None,35.4833764,"Fletcher, NC",-82.4578764,6.0,Handmade Hemp Bracelets & Key chains,https://us.letgo.com/en/i/Handmade-Hemp-Bracelets-Key-chains_d374e086-729c-4240-8e99-2699c3275ec3
None,35.4833764,"Fletcher, NC",-82.4578764,8.0,Handmade Hemp Necklaces,https://us.letgo.com/en/i/Handmade-Hemp-Necklaces_d3c22d76-4d4d-43f7-a613-ef4d5a4e53bd
None,35.597118,"Asheville, NC",-82.516648,13.0,Luvs and Huggies disposable diaper packs,https://us.letgo.com/en/i/Luvs-and-Huggies-disposable-diaper-packs_75204ed1-ed11-484e-81e6-cc923b923292
"Barely used tires. Michelin. 200 bucks takes all. If u dont need the wheels, sell them. Call [EMAIL_HIDDEN] 93eight",35.328604,"Hendersonville, NC",-82.42256,200.0,Wheels n Tires ( Michelin LT265/70r17 ),https://us.letgo.com/en/i/Wheels-n-Tires-Michelin-LT265-70r17-_07703950-79c3-4252-b85d-daa1c8266315
5and 3(4) inchs llng with sheth,35.811401700000005,"Marshall, NC",-82.676994,0.0,Hunting knife,https://us.letgo.com/en/i/Hunting-knife-_aeb88472-67fc-4332-a3fc-f7ab99763ce8
"Great condition, just needs a little cleaning due to sitting in storage from not using it at our apartment complex. Originally $398, asking 200 or best offer",35.592407411641,"Asheville, NC",-82.487730252888,200.0,Walmart Princess Carriage,https://us.letgo.com/en/i/Walmart-Princess-Carriage-_8866f022-8e5b-4e41-afdc-713f7d066d19
Cherry???? Marble top,35.627437,"Old Fort, NC",-82.19243900000001,175.0,Hall Tree,https://us.letgo.com/en/i/Hall-Tree_6be9af27-2287-4c1c-b922-557f67288708
,35.627437,"Old Fort, NC",-82.19243900000001,100.0,Broyhill Desk,https://us.letgo.com/en/i/Broyhill-Desk_282a76aa-d704-46e4-9908-b39f9aec72ab
