Description,Latitude,Location,Longitude,Price,Title,Url,Information
"94 Chevy Astro Van,..208,000 miles..Runs and drives great...Almost new Mud and snow tires..This will make a great work van...I just had the fuel injection replaced which cost me $360 but van runs as nd sound great....CONTACT 828593O11O Call or Text",35.5362217,"Canton, NC",-82.8092321,1400.0,Chevrolet - Astro - 1994,https://us.letgo.com/en/i/Chevrolet-Astro-1994_3222e597-0816-4743-bba6-ad9c0ad7fc17,"Chevrolet - Astro - 1994. $1400.0. 94 Chevy Astro Van,..208,000 miles..Runs and drives great...Almost new Mud and snow tires..This will make a great work van...I just had the fuel injection replaced which cost me $360 but van runs as nd sound great....CONTACT 828593O11O Call or Text"
54 Inch Light Bar...New never been installed...Call or Text [TL_HIDDEN],35.5362217,"Canton, NC",-82.8092321,80.0,54 Inch Light Bar,https://us.letgo.com/en/i/54-Inch-Light-Bar_fbe7f2b2-29b4-4a39-a1c6-77e8fde56ab5,54 Inch Light Bar. $80.0. 54 Inch Light Bar...New never been installed...Call or Text [TL_HIDDEN]
Right handed golf clubs,35.657392629984,"Leicester, NC",-82.705151547089,40.0,Jr Tour Golf Clubs,https://us.letgo.com/en/i/Jr-Tour-Golf-Clubs_40324f63-3b18-401a-bdad-900d58fa9be1,Jr Tour Golf Clubs. $40.0. Right handed golf clubs
18 months,35.5135800231,"Candler, NC",-82.68708409485,2.0,women's pink and black polka-dot long-sleeved top,https://us.letgo.com/en/i/women-s-pink-and-black-polka-dot-long-sleeved-top_d33d05a3-a362-487d-af3c-10f70c1edc54,women's pink and black polka-dot long-sleeved top. $2.0. 18 months
110-115. I have a bag to fit it all for a I total of 130,35.580774319984,"Asheville, NC",-82.62263189396,115.0,yellow and black DeWalt power tool kit set,https://us.letgo.com/en/i/yellow-and-black-DeWalt-power-tool-kit-set_45a070fc-8d45-479d-8453-0d52e899423a,yellow and black DeWalt power tool kit set. $115.0. 110-115. I have a bag to fit it all for a I total of 130
12 months,35.513783889312,"Candler, NC",-82.686794813796,3.0,girl's gray and white Calvin Klein sweater,https://us.letgo.com/en/i/girl-s-gray-and-white-Calvin-Klein-sweater_2ee6a5dd-bec7-4a0b-a575-38ceacebc193,girl's gray and white Calvin Klein sweater. $3.0. 12 months
18 months,35.513783889312,"Candler, NC",-82.686794813796,5.0,"toddler's blue, pink, and white floral embellished denim bib overalls",https://us.letgo.com/en/i/toddler-s-blue-pink-and-white-floral-embellished-denim-bib-overalls_6551c032-0de2-4b25-b4d6-29e39860d0cc,"toddler's blue, pink, and white floral embellished denim bib overalls. $5.0. 18 months"
18 months,35.513783889312,"Candler, NC",-82.686794813796,5.0,red and black dog print pajama set,https://us.letgo.com/en/i/red-and-black-dog-print-pajama-set_8020d458-b135-4d3e-a057-bb559a85156a,red and black dog print pajama set. $5.0. 18 months
12-18 months,35.513783889312,"Candler, NC",-82.686794813796,3.0,"black, pink, and green floral dress",https://us.letgo.com/en/i/black-pink-and-green-floral-dress_ea495806-20ff-4ee8-accb-d29e437f93af,"black, pink, and green floral dress. $3.0. 12-18 months"
12 months,35.513783889312,"Candler, NC",-82.686794813796,4.0,girl's black and white Minnie Mouse polka-dot crew-neck dress,https://us.letgo.com/en/i/girl-s-black-and-white-Minnie-Mouse-polka-dot-crew-neck-dress_c3affc21-ab01-434c-9252-327c77b0f014,girl's black and white Minnie Mouse polka-dot crew-neck dress. $4.0. 12 months
